sku,unmatchedTokens
BT6G,"iPhone 6 | iPhone 6"
BT6S,"iPhone 6 | iPhone 6"
BT6S+,"iPhone 6 | iPhone 6"
BT7+,"iPhone 7 Plus | iPhone 7 بلس"
BT7+-HI,"iPhone 7 Plus | iPhone 7 بلس"
BT7+-TOPP,"iPhone 7 Plus | iPhone 7 بلس"
BT7+-YK,"iPhone 7 Plus | iPhone 7 بلس"
BT7G,"iPhone 7 | iPhone 7"
BT7G-HI,"iPhone 7 | iPhone 7"
BT8+,"iPhone 8 Plus"
BT8+-HI,"iPhone 8 Plus"
BT8+-YK,"iPhone 8 Plus"
BTA02-A21S-A12,"Samsung A21 | Samsung A21"
BTA02S,"A025"
BTA03,"A032"
BTA03S,"Samsung A037 | Samsung A037 | A037"
BTA05,"Samsung A055 | Samsung N28 | Samsung A055 | Samsung N28"
BTA10,"A105"
BTA10S,"Samsung A107 | Samsung A107 | A107"
BTA11,"Samsung A115 | Samsung A115 | A115"
BTA12,"Samsung A127 | Samsung A127 | Samsung A022 | Samsung A127 | Samsung A127 | Samsung A022 | A125 | A127"
BTA13,"Samsung A137 | Samsung A137 | A135 | A137"
BTA145,"A145"
BTA15,"Samsung A155 | Samsung A155 | Samsung A156 | Samsung A155 | Samsung A155 | Samsung A156 | A155"
BTA20S,"Samsung A207 | Samsung A207 | A207"
BTA21S,"Samsung A21 | Samsung A21 | A217"
BTA22-A32,"Samsung A22 | Samsung A22"
BTA23-5G,"Samsung A23 | Samsung A23 | Samsung A23 | Samsung A23 | Samsung A23 | Samsung A23"
BTA30S,"Samsung A307 | Samsung A307 | A307"
BTA32,"Samsung A225 | Samsung A225 | Samsung A225 | A325"
BTA32-5G,"Samsung A326 | Samsung A326 | Samsung A326 | Samsung A326 | A326U"
BTA42,"Samsung A42 | Samsung A426 | Samsung A42 | Samsung A426 | A426"
BTA51,"A515"
BTA52-AK,"Samsung A52 | Samsung A526 | Samsung A52 | Samsung A526 | A526 | A525 | A528"
BTA53-AK,"Samsung A33 | Samsung A33"
BTA70,"Samsung A705 | Samsung A705 | A705"
BTA71,"Samsung A715 | Samsung A715 | A715"
BTA720,"Samsung A720 | Samsung A7 | Samsung A720 | Samsung A7"
BTA73-AK,"Samsung A73 | Samsung A73"
BTايفون10.2,"Samsung A2197 | Samsung A2197 | A2197"
BTايفونP11,"iPhone 311 | iPhone 311 | iPhone 3112020 | iPhone 3112020 | Samsung A2228 | Samsung A2228 | Samsung A2228 | Samsung A2228"
BTITA27,"Samsung A27 | Samsung A49 | Samsung A27 | Samsung A49"
BTMN9,"Samsung Note 9 | Samsung n9 | Samsung Note 9 | Samsung n9 | Samsung Note 9"
BTN10+,"Samsung N975 | Samsung N975 | N975"
BTN20,"Samsung Note 20"
BTN20U,"Samsung Note 20 Ultra | Samsung N985 | Samsung N985 | N985"
BTN5,"Samsung Note 5 | Samsung N920 | Samsung N920 | N920"
BTN8,"Samsung Note 8 | N950"
BTN9,"Samsung Note 9 | Samsung N960 | Samsung N960 | N960"
BTRM9T,"Samsung n9 | Samsung A1 | Samsung A1 | Samsung A2 | Samsung n56 | Samsung n9 | Samsung A1 | Samsung A1 | Samsung A2 | Samsung n56"
BTRN9A,"Samsung A1 | Samsung A1 | Samsung A2 | Samsung n9 | Samsung A1 | Samsung A1 | Samsung A2 | Samsung n56 | Samsung A1 | Samsung A1 | Samsung A2 | Samsung n9 | Samsung A1 | Samsung A1 | Samsung A2 | Samsung n56"
BTS10+,"Samsung S10 Plus | G975"
BTS20,"G980"
BTS20+,"Samsung S20 Plus | G985"
BTS20U,"Samsung S20 Ultra | G988"
BTS21U,"Samsung S21 Ultra"
BTS22U,"Samsung S22 Ultra"
BTS24U,"Samsung S24 Ultra | Samsung S24"
BTS6ED,"G925"
BTS6ED+AK,"G928"
BTS7,"G930"
BTS7ED,"G935"
BTS8,"G950"
BTS8+,"G955"
BTS9,"G960"
BTS9+,"G965"
BZ11P,"iPhone 11 Pro"
BZ12PM,"iPhone 12 Pro Max"
BZ13,"iPhone 13 | iPhone 13"
BZ13P,"iPhone 13 Pro | iPhone 13 برو"
BZ13PM,"iPhone 13 برو ماكس"
BZ14,"iPhone 14 | iPhone 14"
BZ14P,"iPhone 14 Pro | iPhone 14 برو"
BZ14PM,"iPhone 14 Pro Max | iPhone 14 برو ماكس"
BZ15,"iPhone 15 | iPhone 15"
BZ15P,"iPhone 15 Pro | iPhone 15 برو"
BZ15PM,"iPhone 15 Pro Max | iPhone 15 برو ماكس"
CC11P,"iPhone 11 Pro"
CC11PGO,"iPhone 11 Pro"
CC13,"iPhone 13 | iPhone 13"
CC13P,"iPhone 13 Pro | iPhone 13 برو"
CC13PM,"iPhone 13 برو ماكس"
CC14,"iPhone 14 | iPhone 14"
CC14+,"iPhone 14 Plus | iPhone 14 بلس"
CC14P,"iPhone 14 Pro | iPhone 14 برو"
CC14PM,"iPhone 14 Pro Max | iPhone 14 برو ماكس"
CC15P,"iPhone 15 Pro | iPhone 15 برو"
CC15PM,"iPhone 15 Pro Max | iPhone 15 برو ماكس"
CC16PM-ORG,"iPhone 16 Pro Max | iPhone 16برو ماكس"
CC16P-ORG,"iPhone 16 Pro | iPhone 16 برو"
CC5S,"iPhone 5 | iPhone 5"
CC6+,"iPhone 6 Plus | iPhone 6 بلس"
CC6G,"iPhone 6 | iPhone 6"
CC6S,"iPhone 6 | iPhone 6"
CC6S+,"iPhone 6 | iPhone 6"
CC7+,"iPhone 7 Plus | iPhone 7 بلس"
CC7G,"iPhone 7 | iPhone 7"
CC8+,"iPhone 8 Plus"
CCA013,"Samsung A013 | Samsung A013 | A013"
CCA02,"Samsung A022 | Samsung A022 | A022"
CCA02S,"A025"
CCA032,"A032"
CCA045,"Samsung A045 | Samsung A045 | A045"
CCA04E,"Samsung A042 | Samsung A042 | A042"
CCA04S,"A047"
CCA05S,"A057"
CCA10,"A105"
CCA10SM15,"Samsung A107 | Samsung A107 | A107"
CCA10SM16,"Samsung A107 | Samsung A107 | A107"
CCA11,"Samsung A115 | Samsung A115 | A115"
CCA12,"A125"
CCA135,"A135"
CCA13-5G,"A136"
CCA146,"Samsung A146 | Samsung A146"
CCA15,"Samsung A115 | Samsung A115 | A115"
CCA20,"Samsung A205 | Samsung A205 | A205"
CCA20SM14,"Samsung A207 | Samsung A207 | A207"
CCA20SM15,"Samsung A207 | Samsung A207 | A207"
CCA21,"Samsung A21 | Samsung A21 | A215"
CCA21S,"Samsung A21 | Samsung A21 | A217"
CCA225,"Samsung A22 | Samsung A225 | Samsung A22 | Samsung A225 | A225"
CCA226,"Samsung A22 | Samsung A226 | Samsung A22 | Samsung A226 | A226"
CCA235,"Samsung A235 | Samsung A235"
CCA245,"Samsung A24 | Samsung A245 | Samsung A24 | Samsung A245 | A245"
CCA25,"Samsung A25 | Samsung A25"
CCA30,"A305"
CCA30S,"Samsung A307 | Samsung A307 | A307"
CCA31,"A315"
CCA310,"Samsung A3 | Samsung A3 | A310"
CCA325,"A325"
CCA326,"Samsung A326 | Samsung A326 | A326"
CCA335,"Samsung A33 | Samsung A335 | Samsung A33 | Samsung A335 | A335"
CCA336,"Samsung A33 | Samsung A336 | Samsung A33 | Samsung A336 | A336"
CCA50,"A505"
CCA50S,"A507"
CCA510,"Samsung A510 | Samsung A5 | Samsung A510 | Samsung A5"
CCA520,"A520"
CCA525,"Samsung A52 | Samsung A52 | A525"
CCA528,"Samsung A52 | Samsung A52 | A528"
CCA536,"A536"
CCA70,"Samsung A705 | Samsung A705 | A705"
CCA71,"Samsung A715 | Samsung A715 | A715"
CCA725,"A725"
CCA726,"Samsung A726 | Samsung A726 | A726"
CCA73,"Samsung A73 | Samsung A73"
CCG530,"G532"
CCG610,"G570 | J610"
CCايفون10.2,"Samsung A2197 | Samsung A2197 | A2197"
CCITA49,"Samsung A49 | Samsung A49"
CCITA60S,"Samsung A60 | Samsung A60"
CCITRS4,"Samsung s4 | Samsung s4"
CCMN11-11S,"Samsung Note 11"
CCMN7,"Samsung Note 7"
CCMN8,"Samsung Note 8"
CCMN8+,"Samsung Note 8"
CCMN9,"Samsung Note 9"
CCMN9P,"Samsung Note 9"
CCN10,"Samsung N970 | Samsung N970 | N970"
CCN10+,"Samsung N975 | Samsung N975 | N975"
CCN10L,"Samsung N770 | Samsung N770 | N770"
CCN2,"Samsung Note2 | Samsung N7100 | Samsung Note2 | Samsung N7100 | N7100"
CCN20,"Samsung Note 20 | Samsung N980 | Samsung N980 | N980"
CCN20U,"Samsung Note 20 Ultra | Samsung N985 | Samsung N985 | N985"
CCN3,"Samsung Note 3 | Samsung N9005 | Samsung N9005 | N9005"
CCN4,"Samsung Note 4 | Samsung N910 | Samsung N910 | N910"
CCN5,"Samsung Note 5 | Samsung N920 | Samsung N920 | N920"
CCN8,"Samsung Note 8 | N950"
CCN9,"Samsung Note 9 | Samsung N960 | Samsung N960 | N960"
CCNFN11P,"Samsung Note 11"
CCNFN30-5G,"Samsung Note 30"
CCNFN7L,"Samsung Note 7"
CCNFN8,"Samsung Note 8"
CCOA16,"Samsung A54 | Samsung A54"
CCOA73-5G,"Samsung A73 | Samsung A73"
CCOA77,"Samsung A77 | Samsung A77"
CCOA9.2020,"Samsung A9 | Samsung A5 | Samsung A9 | Samsung A5"
CCOA93,"Samsung A93 | Samsung A94 | Samsung A93 | Samsung A94"
CCOA96,"Samsung A96 | Samsung A96"
CCOPA3S,"Samsung A3 | Samsung A3"
CCOPA92,"Samsung A92 | Samsung A92"
CCRA1+,"Samsung A1 Plus | Samsung A1"
CCRMN7,"Samsung Note 7"
CCRMN8,"Samsung Note 8"
CCRMN9,"Samsung Note 9"
CCS10,"G973"
CCS2,"Samsung S2 | Samsung S2 | I9100"
CCS20,"G980"
CCS20+,"Samsung S20 Plus | G985"
CCS20U,"Samsung S20 Ultra | G988"
CCS21U,"Samsung S21 Ultra"
CCS22U,"Samsung S22 Ultra"
CCS3,"Samsung S3 | Samsung S3 | I9300"
CCS4,"Samsung S4 | Samsung S4 | I9500"
CCS5,"G900"
CCS6,"G920"
CCS7,"G930"
CCS7ED,"G935"
CCS8,"G950"
CCS9,"G960"
CCS9+,"G965"
CCT515-T510,"T510"
CCX210/X215,"Samsung A9 | Samsung A9 | X210 | X215"
CLA10SM15,"Samsung A107 | Samsung A107 | A107"
CLA10SM16,"Samsung A107 | Samsung A107 | A107"
CLA20,"Samsung A205 | Samsung A205 | A205"
CLA20SM12,"Samsung A207 | Samsung A207 | A207"
CLA20SM14,"Samsung A207 | Samsung A207 | A207"
CLA21S,"Samsung A21 | Samsung A21"
CLA225,"Samsung A22 | Samsung A225 | Samsung A22 | Samsung A225 | A225"
CLA226,"Samsung A22 | Samsung A22"
CLA30,"A305"
CLA30S,"Samsung A307 | Samsung A307 | A307"
CLA31,"A315"
CLA32,"Samsung A326 | Samsung A326 | A326"
CLA325,"A325"
CLA336,"Samsung A336 | Samsung A33 | Samsung A336 | Samsung A33"
CLA426,"Samsung A42 | Samsung A426 | Samsung A42 | Samsung A426 | A426"
CLA50,"A505"
CLA50S,"A507"
CLA51,"A515"
CLA5264G,"Samsung A52 | Samsung A526 | Samsung A52 | Samsung A526 | A526"
CLA5285G,"Samsung A52 | Samsung A52 | A528"
CLA70,"Samsung A705 | Samsung A705 | A705"
CLA71,"Samsung A715 | Samsung A715 | A715"
CLA73,"Samsung A73 | Samsung A73"
CLA7306,"Samsung A7 | Samsung A7"
CLN20,"Samsung Note 20"
CLS21U,"Samsung S21 Ultra"
CP11P,"iPhone 11 Pro"
CP13,"iPhone 13 | iPhone 13"
CP13P,"iPhone 13 Pro | iPhone 13 برو"
CP13PM,"iPhone 13 برو ماكس"
CPA02S,"A025"
CPA032,"A032"
CPA10S,"Samsung A107 | Samsung A107 | A107"
CPA12,"A125"
CPA13,"A135"
CPA136,"A136"
FC11P,"iPhone 11 Pro"
FC12PM,"iPhone 12 Pro Max"
FC13,"iPhone 13 | iPhone 13"
FC13PM,"iPhone 13 برو ماكس"
FC14,"iPhone 14 | iPhone 14"
FC14P,"iPhone 14 Pro | iPhone 14 برو"
FC14PM-ORG,"iPhone 14 Pro Max | iPhone 14 برو ماكس"
FC15-ORG,"iPhone 15 | iPhone 15"
FC15PM-ORG,"iPhone 15 Pro Max | iPhone 15 برو ماكس"
FC15P-ORG,"iPhone 15 Pro | iPhone 15 برو"
FC5G,"iPhone 5 | iPhone 5"
FC5S,"iPhone 5 | iPhone 5"
FC6+,"iPhone 6 Plus | iPhone 6 بلس"
FC6G,"iPhone 6 | iPhone 6"
FC6S,"iPhone 6 | iPhone 6"
FC6S+,"iPhone 6 | iPhone 6"
FC7+,"iPhone 7 Plus | iPhone 7 بلس"
FC7G,"iPhone 7 | iPhone 7"
FC8+,"iPhone 8 Plus"
FL15P,"iPhone 15 Pro | iPhone 15 برو"
FL15PM,"iPhone 15 Pro Max | iPhone 15 برو ماكس"
HC13P,"iPhone 13 Pro | iPhone 13برو"
HC13PM,"iPhone 13 برو ماكس"
HC14,"iPhone 14 | iPhone 14"
HC14+,"iPhone 14 Plus | iPhone 14 بلس"
HC15,"iPhone 15 | iPhone 15"
HC15P,"iPhone 15 Pro | iPhone 15 برو"
HC15PM,"iPhone 15 Pro Max | iPhone 15 برو ماكس"
HM5SB,"iPhone 5 | iPhone 5"
HM6GB,"iPhone 6 | iPhone 6"
HM6GW,"iPhone 6 | iPhone 6"
HM6SB,"iPhone 6 | iPhone 6"
HM6SW,"iPhone 6 | iPhone 6"
HM7GB,"iPhone 7 | iPhone 7"
HM7GW,"iPhone 7 | iPhone 7"
LC11P -GX,"iPhone 11 Pro"
LC11P -ZY,"iPhone 11 Pro"
LC11P-MP,"iPhone 11 Pro"
LC11P-TOP,"iPhone 11 Pro"
LC11P-YK,"iPhone 11 Pro | iPhone 11 Pro"
LC12MI-AK,"iPhone 12 Mini"
LC12MI-TOPP,"iPhone 12 Mini"
LC12MI-ZY,"iPhone 12 Mini"
LC12MN -OR,"iPhone 12 Mini"
LC12PM -AK,"iPhone 12 Pro Max"
LC12PM JKORG,"iPhone 12 Pro Max"
LC12PM -OR,"iPhone 12 Pro Max"
LC12PM-MP,"iPhone 12 Pro Max"
LC12PM-TOP,"iPhone 12 Pro Max"
LC13 -OR,"iPhone 13 | iPhone 13"
LC13MI-TOPP,"iPhone 13 Mini | iPhone 13 ميني"
LC13MI-ZY,"iPhone 13 Mini | iPhone 13 ميني"
LC13-OLED,"iPhone 13 | iPhone 13"
LC13P -OR,"iPhone 13 Pro | iPhone 13 برو"
LC13P-GX,"iPhone 13 Pro | iPhone 13 برو"
LC13PM -OR,"iPhone 13 برو ماكس"
LC13PMJK,"iPhone 13برو"
LC13PM-ZY,"iPhone 13 برو ماكس"
LC13P-ZY,"iPhone 13 Pro | iPhone 13 Pro"
LC13-TOP,"iPhone 13 | iPhone 13"
LC13-ZY,"iPhone 13 | iPhone 13"
LC14+ORG,"iPhone 14 Plus | iPhone 14 بلس"
LC14+-ZY,"iPhone 14 Plus | iPhone 14 بلس"
LC14PMJK ORG,"iPhone 14 Pro Max | iPhone 14برو"
LC14PM-ORG,"iPhone 14 Pro Max | iPhone 14 برو ماكس"
LC14PM-ZY,"iPhone 14 Pro Max | iPhone 14 برو ماكس"
LC14P-ORG,"iPhone 14 Pro | iPhone 14 برو"
LC14P-ZY,"iPhone 14 Pro | iPhone 14 برو"
LC14-TOPP,"iPhone 14 | iPhone 14"
LC14-ZY,"iPhone 14 | iPhone 14"
LC15+-AK,"iPhone 15 Plus | iPhone 15 بلس"
LC15+TOPP-AK,"iPhone 15 Plus | iPhone 15 بلس"
LC15+-ZY,"iPhone 15 Plus | iPhone 15 بلس"
LC15-AK,"iPhone 15 | iPhone 15"
LC15P-AK,"iPhone 15 Pro | iPhone 15 برو"
LC15P-FHD-AK,"iPhone 15 Pro | iPhone 15 برو"
LC15PM-FHD-AK,"iPhone 15 Pro Max | iPhone 15 برو ماكس"
LC15PM-HD-AK,"iPhone 15 Pro Max | iPhone 15 برو ماكس"
LC15PMJK,"iPhone 15 Pro Max | iPhone 15برو"
LC15PMJKORG,"iPhone 15 Pro Max | iPhone 15برو"
LC15PMOL-AK,"iPhone 15 Pro Max | iPhone 15 برو ماكس"
LC15PM-ORG,"iPhone 15 Pro Max | iPhone 15 برو ماكس"
LC15PM-ZY,"iPhone 15 Pro Max | iPhone 15 برو ماكس"
